title,genre
Tess of the D'Urbervilles,Literature
Tess of the D'Urbervilles,Historical
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Politics
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",History
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Politics
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Government
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Philosophy
On the Road,Classics
On the Road,Fiction
On the Road,Travel
On the Road,Literature
On the Road,Novels
Chicken Soup for the Soul,Psychology
Chicken Soup for the Soul,Philosophy
Chicken Soup for the Soul,Christian
Chicken Soup for the Soul,Writing
Chicken Soup for the Soul,Essays
The House on Mango Street,Fiction
The House on Mango Street,Classics
The House on Mango Street,Academic
The House on Mango Street,School
The House on Mango Street,Academic
Bridget Jones's Diary,Fiction
Bridget Jones's Diary,Romance
Bridget Jones's Diary,Humor
Bridget Jones's Diary,Adult
Bridget Jones's Diary,Humor
Things Fall Apart,Fiction
Things Fall Apart,Classics
Things Fall Apart,Historical
Things Fall Apart,Cultural
Things Fall Apart,Africa
The Pearl,Classics
The Pearl,Fiction
The Pearl,Literature
The Pearl,Academic
The Pearl,School
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Philosophy
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Fiction
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Classics
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Travel
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Psychology
"Dude, Where's My Country?",Politics
"Dude, Where's My Country?",Humor
"Dude, Where's My Country?",History
"Dude, Where's My Country?",Humor
"Dude, Where's My Country?",Comedy
Wicked: The Life and Times of the Wicked Witch of the West,Fantasy
Wicked: The Life and Times of the Wicked Witch of the West,Fiction
Wicked: The Life and Times of the Wicked Witch of the West,Adult
Wicked: The Life and Times of the Wicked Witch of the West,Retellings
Wicked: The Life and Times of the Wicked Witch of the West,Paranormal
Prozac Nation,Memoir
Prozac Nation,Psychology
Prozac Nation,Health
Prozac Nation,Biography
Prozac Nation,Biography
The Girls' Guide to Hunting and Fishing,Fiction
The Girls' Guide to Hunting and Fishing,Romance
The Girls' Guide to Hunting and Fishing,Humor
The Girls' Guide to Hunting and Fishing,Adult
The Girls' Guide to Hunting and Fishing,Novels
Forrest Gump,Fiction
Forrest Gump,Humor
Forrest Gump,Historical
Forrest Gump,Classics
Forrest Gump,Novels
Anthem,Fiction
Anthem,Classics
Anthem,Dystopia
Anthem,Philosophy
Anthem,Academic
The Shipping News,Fiction
The Shipping News,Cultural
The Shipping News,Canada
The Shipping News,Literature
The Shipping News,Novels
The Red Tent,Historical
The Red Tent,Fiction
The Red Tent,Historical
The Red Tent,Religion
The Red Tent,Feminism
The Pilot's Wife,Fiction
The Pilot's Wife,Mystery
The Pilot's Wife,Romance
The Pilot's Wife,Adult
The Pilot's Wife,Novels
Digital Fortress,Fiction
Digital Fortress,Thriller
Digital Fortress,Mystery
Digital Fortress,Suspense
Digital Fortress,Mystery
Liberty and Tyranny: A Conservative Manifesto,Politics
Liberty and Tyranny: A Conservative Manifesto,History
Liberty and Tyranny: A Conservative Manifesto,Philosophy
Liberty and Tyranny: A Conservative Manifesto,Politics
Liberty and Tyranny: A Conservative Manifesto,Economics
Portrait of a Killer: Jack the Ripper - Case Closed,Crime
Portrait of a Killer: Jack the Ripper - Case Closed,History
Portrait of a Killer: Jack the Ripper - Case Closed,Mystery
Portrait of a Killer: Jack the Ripper - Case Closed,Crime
Portrait of a Killer: Jack the Ripper - Case Closed,Mystery
Your Best Life Now: 7 Steps to Living at Your Full Potential,Christian
